Data;Valor
1994.09;70,00
1994.10;70,00
1994.11;70,00
1994.12;70,00
1995.01;70,00
1995.02;70,00
1995.03;70,00
1995.04;70,00
1995.05;100,00
1995.06;100,00
1995.07;100,00
1995.08;100,00
1995.09;100,00
1995.10;100,00
1995.11;100,00
1995.12;100,00
1996.01;100,00
1996.02;100,00
1996.03;100,00
1996.04;100,00
1996.05;112,00
1996.06;112,00
1996.07;112,00
1996.08;112,00
1996.09;112,00
1996.10;112,00
1996.11;112,00
1996.12;112,00
1997.01;112,00
1997.02;112,00
1997.03;112,00
1997.04;112,00
1997.05;120,00
1997.06;120,00
1997.07;120,00
1997.08;120,00
1997.09;120,00
1997.10;120,00
1997.11;120,00
1997.12;120,00
1998.01;120,00
1998.02;120,00
1998.03;120,00
1998.04;120,00
1998.05;130,00
1998.06;130,00
1998.07;130,00
1998.08;130,00
1998.09;130,00
1998.10;130,00
1998.11;130,00
1998.12;130,00
1999.01;130,00
1999.02;130,00
1999.03;130,00
1999.04;130,00
1999.05;136,00
1999.06;136,00
1999.07;136,00
1999.08;136,00
1999.09;136,00
1999.10;136,00
1999.11;136,00
1999.12;136,00
2000.01;136,00
2000.02;136,00
2000.03;136,00
2000.04;151,00
2000.05;151,00
2000.06;151,00
2000.07;151,00
2000.08;151,00
2000.09;151,00
2000.10;151,00
2000.11;151,00
2000.12;151,00
2001.01;151,00
2001.02;151,00
2001.03;151,00
2001.04;180,00
2001.05;180,00
2001.06;180,00
2001.07;180,00
2001.08;180,00
2001.09;180,00
2001.10;180,00
2001.11;180,00
2001.12;180,00
2002.01;180,00
2002.02;180,00
2002.03;180,00
2002.04;200,00
2002.05;200,00
2002.06;200,00
2002.07;200,00
2002.08;200,00
2002.09;200,00
2002.10;200,00
2002.11;200,00
2002.12;200,00
2003.01;200,00
2003.02;200,00
2003.03;200,00
2003.04;240,00
2003.05;240,00
2003.06;240,00
2003.07;240,00
2003.08;240,00
2003.09;240,00
2003.10;240,00
2003.11;240,00
2003.12;240,00
2004.01;240,00
2004.02;240,00
2004.03;240,00
2004.04;240,00
2004.05;260,00
2004.06;260,00
2004.07;260,00
2004.08;260,00
2004.09;260,00
2004.10;260,00
2004.11;260,00
2004.12;260,00
2005.01;260,00
2005.02;260,00
2005.03;260,00
2005.04;260,00
2005.05;300,00
2005.06;300,00
2005.07;300,00
2005.08;300,00
2005.09;300,00
2005.10;300,00
2005.11;300,00
2005.12;300,00
2006.01;300,00
2006.02;300,00
2006.03;300,00
2006.04;350,00
2006.05;350,00
2006.06;350,00
2006.07;350,00
2006.08;350,00
2006.09;350,00
2006.10;350,00
2006.11;350,00
2006.12;350,00
2007.01;350,00
2007.02;350,00
2007.03;350,00
2007.04;380,00
2007.05;380,00
2007.06;380,00
2007.07;380,00
2007.08;380,00
2007.09;380,00
2007.10;380,00
2007.11;380,00
2007.12;380,00
2008.01;380,00
2008.02;380,00
2008.03;415,00
2008.04;415,00
2008.05;415,00
2008.06;415,00
2008.07;415,00
2008.08;415,00
2008.09;415,00
2008.10;415,00
2008.11;415,00
2008.12;415,00
2009.01;415,00
2009.02;465,00
2009.03;465,00
2009.04;465,00
2009.05;465,00
2009.06;465,00
2009.07;465,00
2009.08;465,00
2009.09;465,00
2009.10;465,00
2009.11;465,00
2009.12;465,00
2010.01;510,00
2010.02;510,00
2010.03;510,00
2010.04;510,00
2010.05;510,00
2010.06;510,00
2010.07;510,00
2010.08;510,00
2010.09;510,00
2010.10;510,00
2010.11;510,00
2010.12;510,00
2011.01;540,00
2011.02;540,00
2011.03;545,00
2011.04;545,00
2011.05;545,00
2011.06;545,00
2011.07;545,00
2011.08;545,00
2011.09;545,00
2011.10;545,00
2011.11;545,00
2011.12;545,00
2012.01;622,00
2012.02;622,00
2012.03;622,00
2012.04;622,00
2012.05;622,00
2012.06;622,00
2012.07;622,00
2012.08;622,00
2012.09;622,00
2012.10;622,00
2012.11;622,00
2012.12;622,00
2013.01;678,00
2013.02;678,00
2013.03;678,00
2013.04;678,00
2013.05;678,00
2013.06;678,00
2013.07;678,00
2013.08;678,00
2013.09;678,00
2013.10;678,00
2013.11;678,00
2013.12;678,00
2014.01;724,00
2014.02;724,00
2014.03;724,00
2014.04;724,00
2014.05;724,00
2014.06;724,00
2014.07;724,00
2014.08;724,00
2014.09;724,00
2014.10;724,00
2014.11;724,00
2014.12;724,00
2015.01;788,00
2015.02;788,00
2015.03;788,00
2015.04;788,00
2015.05;788,00
2015.06;788,00
2015.07;788,00
2015.08;788,00
2015.09;788,00
2015.10;788,00
2015.11;788,00
2015.12;788,00
2016.01;880,00
2016.02;880,00
2016.03;880,00
2016.04;880,00
2016.05;880,00
2016.06;880,00
2016.07;880,00
2016.08;880,00
2016.09;880,00
2016.10;880,00
2016.11;880,00
2016.12;880,00
2017.01;937,00
2017.02;937,00
2017.03;937,00
2017.04;937,00
2017.05;937,00
2017.06;937,00
2017.07;937,00
2017.08;937,00
2017.09;937,00
2017.10;937,00
2017.11;937,00
2017.12;937,00
2018.01;954,00
2018.02;954,00
2018.03;954,00
2018.04;954,00
2018.05;954,00
2018.06;954,00
2018.07;954,00
2018.08;954,00
2018.09;954,00
2018.10;954,00
2018.11;954,00
2018.12;954,00
2019.01;998,00
2019.02;998,00
2019.03;998,00
2019.04;998,00
2019.05;998,00
2019.06;998,00
2019.07;998,00
2019.08;998,00
2019.09;998,00
2019.10;998,00
2019.11;998,00
2019.12;998,00
2020.01;1039,00
2020.02;1045,00
2020.03;1045,00
2020.04;1045,00
2020.05;1045,00
2020.06;1045,00
2020.07;1045,00
2020.08;1045,00
2020.09;1045,00
2020.10;1045,00
2020.11;1045,00
2020.12;1045,00
2021.01;1100,00
2021.02;1100,00
2021.03;1100,00
2021.04;1100,00
2021.05;1100,00
2021.06;1100,00
2021.07;1100,00
2021.08;1100,00
2021.09;1100,00
2021.10;1100,00
2021.11;1100,00
2021.12;1100,00
